player_id,name,season,position,games,goals,shots,time,xG,assists,xA,key_passes,team,yellow,red,npg,npxG,xGChain,xGBuildup
763,Robert Elliot,2015,GK,21,0,0,1890,0.0,0,0.0229892991483211,1,Newcastle United,1,0,0,0.0,1.7296239947900176,1.70663498993963
763,Robert Elliot,2014,GK,3,0,0,227,0.0,0,0.0489289984107017,1,Newcastle United,0,0,0,0.0,0.2176734954118728,0.1687444970011711
764,Daryl Janmaat,2019,DMR,8,0,4,611,0.3307649083435535,1,0.3983299061655998,6,Watford,1,0,0,0.3307649083435535,1.80352071672678,1.2739357091486454
764,Daryl Janmaat,2018,DR,18,0,11,1524,0.4652440957725048,2,0.5796329937875271,12,Watford,3,0,0,0.4652440957725048,3.363954272121191,2.501093165948987
764,Daryl Janmaat,2017,DR,23,3,24,1823,1.6508419197052715,0,0.9912612996995448,12,Watford,3,0,3,1.6508419197052715,4.680952705442905,3.0537463910877705
764,Daryl Janmaat,2016,DR,27,2,26,1620,1.470455477014184,1,1.5475112907588482,13,Watford,2,0,2,1.470455477014184,3.83804870210588,2.3895008843392134
764,Daryl Janmaat,2015,DR,32,2,19,2754,1.1652493462897835,4,3.490501798223704,25,Newcastle United,5,1,2,1.1652493462897835,9.721465773880482,6.243291113525629
764,Daryl Janmaat,2014,DR,37,1,35,3263,1.4101378628984094,6,2.940818637609482,31,Newcastle United,6,1,1,1.4101378628984094,6.7864417396485806,4.356649793684483
765,Steven Taylor,2015,Sub,10,0,1,810,0.0839437991380691,0,0.1118389964103698,2,Newcastle United,1,0,0,0.0839437991380691,1.7559301909059286,1.560147201642394
765,Steven Taylor,2014,Sub,10,1,5,655,0.4236275032162666,0,0.0,0,Newcastle United,2,1,1,0.4236275032162666,0.8078706823289394,0.7066186852753162
766,Jamaal Lascelles,2023,Sub,16,1,6,1072,1.0759279876947403,0,0.0364065654575824,2,Newcastle United,4,0,1,1.0759279876947403,3.616684731096029,3.5107219703495502
766,Jamaal Lascelles,2022,DC,7,0,2,200,0.120240394026041,0,0.0,0,Newcastle United,2,0,0,0.120240394026041,0.3834709972143173,0.3834709972143173
766,Jamaal Lascelles,2021,DC,26,1,17,2052,1.3373388117179277,0,0.2316508945077657,4,Newcastle United,5,0,1,1.3373388117179277,1.4465576093643904,1.4465576093643904
766,Jamaal Lascelles,2020,DC,19,2,16,1633,0.7653545793145895,0,0.0668828021734952,2,Newcastle United,4,0,2,0.7653545793145895,2.6064504999667406,2.3499084059149027
766,Jamaal Lascelles,2019,DC,24,1,9,2084,0.44119159784168,0,0.1419748999178409,2,Newcastle United,5,0,1,0.44119159784168,2.9985410645604134,2.853570658713579
766,Jamaal Lascelles,2018,DC,32,0,11,2751,0.3995888289064169,1,1.2035105116665363,3,Newcastle United,4,0,0,0.3995888289064169,3.302876438945532,3.29386943206191
766,Jamaal Lascelles,2017,Sub,33,3,12,2929,1.5097707957029345,0,0.3699572999030351,6,Newcastle United,5,0,3,1.5097707957029345,3.311390195041895,3.2026658058166504
766,Jamaal Lascelles,2015,Sub,18,2,4,1135,0.4158274009823799,0,0.1482736989855766,2,Newcastle United,1,1,2,0.4158274009823799,1.2703508995473385,1.2219718024134636
767,Jack Colback,2022,MC,11,0,0,480,0.0,0,0.2822478041052818,2,Nottingham Forest,0,0,0,0.0,0.5764240063726902,0.3181040026247501
767,Jack Colback,2015,DMC,29,1,15,2409,0.8832448916509748,1,1.2081099371425807,16,Newcastle United,11,0,1,0.8832448916509748,6.735097970813513,5.063955340534449
767,Jack Colback,2014,MC,35,4,27,3130,2.8249618243426085,6,2.3404141180217266,44,Newcastle United,12,0,4,2.8249618243426085,7.598447484895587,4.668526872992516
768,Vurnon Anita,2015,DMC,28,1,8,2112,0.2250929996371269,3,0.6107363002374768,13,Newcastle United,6,0,1,0.2250929996371269,4.6412940211594105,4.246871806681156
768,Vurnon Anita,2014,DMC,19,0,8,1291,0.1441145800054073,0,0.2418053038418293,6,Newcastle United,3,0,0,0.1441145800054073,1.8163302429020405,1.5396105162799358
769,Jonjo Shelvey,2022,Sub,8,0,6,542,0.1604539966210723,0,0.3491519913077354,6,Nottingham Forest,1,0,0,0.1604539966210723,0.4599286001175642,0.3226796966046095
769,Jonjo Shelvey,2022,Sub,3,0,0,23,0.0,0,0.0,0,Newcastle United,0,0,0,0.0,0.5101879090070724,0.5101879090070724
769,Jonjo Shelvey,2021,MC,24,2,30,1987,0.879080006852746,1,1.0608121007680893,16,Newcastle United,5,1,2,0.879080006852746,3.950462125241757,2.919236796908081
769,Jonjo Shelvey,2020,MC,30,1,42,2617,2.452838074415922,3,2.625524072907865,37,Newcastle United,7,0,1,2.452838074415922,9.463522750884296,7.525885250419378
769,Jonjo Shelvey,2019,MC,26,6,45,2136,2.24221299123019,2,4.141613911837339,44,Newcastle United,3,0,6,2.24221299123019,7.487134265713394,4.892640821635723
769,Jonjo Shelvey,2018,MC,16,1,23,932,0.7167933150194585,1,1.8579730316996572,25,Newcastle United,1,0,1,0.7167933150194585,3.268730702344328,1.9959057094529271
769,Jonjo Shelvey,2017,DMC,30,1,42,2268,2.1764818001538515,3,2.6017918046563864,41,Newcastle United,2,2,1,2.1764818001538515,7.696285810321569,4.693055970594287
769,Jonjo Shelvey,2015,DMC,16,1,34,1229,1.7600614987313747,2,3.140187421813607,24,Swansea,5,0,0,0.9988927878439426,5.929805906489492,3.68703780695796
769,Jonjo Shelvey,2015,Sub,15,0,22,1041,0.7806668914854527,3,1.2488429676741362,19,Newcastle United,3,0,0,0.7806668914854527,5.010283015668392,3.573262982070446
