id,goals,own_goals,shots,xG,time,player_id,team_id,position,player,h_a,yellow_card,red_card,roster_in,roster_out,key_passes,assists,xA,xGChain,xGBuildup,positionOrder,match_id,season,side
548655,0,0,0,0.0,90,669,71,MC,Ashley Westwood,a,1,0,0,0,1,1,0.3740819990634918,0.1319369971752166,0.1319369971752166,9,82,2015,a
548653,0,0,0,0.0,72,677,71,MC,Jordan Veretout,a,0,0,548660,0,1,0,0.0182690992951393,0.1319369971752166,0.1136680021882057,9,82,2015,a
548656,0,0,0,0.0,60,672,71,FWR,Jordan Ayew,a,0,0,548659,0,0,0,0.0,0.1319369971752166,0.1319369971752166,14,82,2015,a
548657,0,0,2,0.1301600039005279,90,890,71,FW,Gabriel Agbonlahor,a,0,0,0,0,1,0,0.1136680021882057,0.243827998638153,0.0,15,82,2015,a
548658,0,0,0,0.0,79,679,71,FWL,Scott Sinclair,a,0,0,548661,0,0,0,0.0,0.0,0.0,16,82,2015,a
548660,0,0,0,0.0,18,667,71,Sub,Carlos Sánchez,a,0,0,0,548653,0,0,0.0,0.0,0.0,17,82,2015,a
548661,0,0,0,0.0,11,899,71,Sub,Kieran Richardson,a,0,0,0,548658,0,0,0.0,0.0,0.0,17,82,2015,a
548659,1,0,2,0.4267620146274566,30,671,71,Sub,Rudy Gestede,a,0,0,0,548656,0,0,0.0,0.0526796989142894,0.0,17,82,2015,a
57164,0,0,0,0.0,90,600,72,GK,Tim Howard,h,0,0,0,0,0,0,0.0,0.0695161968469619,0.0695161968469619,1,83,2015,h
57165,0,0,0,0.0,90,585,72,DR,Seamus Coleman,h,1,0,0,0,0,0,0.0,0.0960125029087066,0.0960125029087066,2,83,2015,h
57167,0,0,0,0.0,90,586,72,DC,John Stones,h,0,0,0,0,0,0,0.0,0.0275899991393089,0.0275899991393089,3,83,2015,h
57166,0,0,0,0.0,90,587,72,DC,Phil Jagielka,h,0,0,0,0,0,0,0.0,0.0462250001728534,0.0462250001728534,3,83,2015,h
57168,0,0,0,0.0,65,909,72,DL,Brendan Galloway,h,0,0,57177,0,0,0,0.0,0.0462250001728534,0.0462250001728534,4,83,2015,h
57170,0,0,1,0.0972732976078987,90,590,72,DMC,Gareth Barry,h,0,0,0,0,1,0,0.0186350997537374,0.0881512016057968,0.0695161968469619,7,83,2015,h
57169,0,0,0,0.0,90,589,72,DMC,James McCarthy,h,0,0,0,0,0,0,0.0,0.0186350997537374,0.0186350997537374,7,83,2015,h
57171,0,0,1,0.0101560996845364,79,595,72,AMR,Kevin Mirallas,h,0,0,57175,0,1,0,0.0972732976078987,0.0830978974699974,0.0729418024420738,11,83,2015,h
57172,1,0,4,0.0922122001647949,90,592,72,AMC,Ross Barkley,h,0,0,0,0,1,0,0.2133949995040893,0.0922122001647949,0.0,12,83,2015,h
57173,0,0,0,0.0,90,596,72,AML,Tom Cleverley,h,0,0,0,0,3,0,0.1310490071773529,0.1503189951181411,0.0192703995853662,13,83,2015,h
57174,0,0,2,0.25832599401474,90,594,72,FW,Romelu Lukaku,h,0,0,57176,0,1,1,0.0695161968469619,0.1420370042324066,0.0275899991393089,15,83,2015,h
57176,0,0,0,0.0,1,824,72,Sub,Steven Naismith,h,0,0,0,57174,0,0,0.0,0.0,0.0,17,83,2015,h
57177,1,0,2,0.146257996559143,25,601,72,Sub,Arouna Koné,h,0,0,0,57168,1,1,0.0192703995853662,0.1655289977788925,0.0,17,83,2015,h
57175,0,0,0,0.0,11,598,72,Sub,Bryan Oviedo,h,0,0,0,57171,0,0,0.0,0.0,0.0,17,83,2015,h
57178,0,0,0,0.0,90,564,90,GK,Heurelho Gomes,a,0,0,0,0,0,0,0.0,0.1141759976744651,0.1141759976744651,1,83,2015,a
57179,0,0,0,0.0,90,565,90,DR,Nyom,a,0,0,0,0,0,0,0.0,0.0234593003988266,0.0234593003988266,2,83,2015,a
57180,0,0,0,0.0,90,566,90,DC,Sebastian Prödl,a,0,0,0,0,0,0,0.0,0.1444360017776489,0.1444360017776489,3,83,2015,a
57181,0,0,0,0.0,90,581,90,DC,Craig Cathcart,a,0,0,0,0,0,0,0.0,0.0,0.0,3,83,2015,a
