id,league,season,club_name,home_away,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
72,EPL,2014,Everton,a,1.32187,1.55564,1.32187,1.55564,14.23076923076923,13.290322580645162,2,6,3,1,1.141,w,2014-10-26 13:30:00,1,0,0,3,-0.2337699999999998
72,EPL,2014,Everton,h,1.14779,0.694419,1.14779,0.694419,4.90625,13.181818181818182,16,4,0,0,1.759,d,2014-11-01 15:00:00,0,1,0,1,0.4533710000000001
72,EPL,2014,Everton,a,1.31898,0.508326,0.557814,0.508326,8.32,11.478260869565217,7,4,1,1,2.168,d,2014-11-09 13:30:00,0,1,0,1,0.049488
72,EPL,2014,Everton,h,1.82651,1.11958,1.82651,1.11958,5.285714285714286,13.857142857142858,9,4,2,1,1.9317,w,2014-11-22 15:00:00,1,0,0,3,0.7069300000000001
72,EPL,2014,Everton,a,0.934335,1.13109,0.934335,1.13109,13.375,12.2,4,1,1,2,1.1608,l,2014-11-30 16:00:00,0,0,1,0,-0.1967549999999999
72,EPL,2014,Everton,h,1.27965,0.29547,1.27965,0.29547,11.294117647058824,8.805555555555555,7,1,1,1,2.2667,d,2014-12-03 19:45:00,0,1,0,1,0.98418
72,EPL,2014,Everton,a,0.385845,2.2487,0.385845,1.48753,9.434782608695652,10.0,5,17,0,1,0.1949,l,2014-12-06 17:30:00,0,0,1,0,-1.101685
72,EPL,2014,Everton,h,0.747708,0.972265,0.747708,0.972265,8.0,10.214285714285714,5,4,3,1,1.1068,w,2014-12-15 20:00:00,1,0,0,3,-0.224557
72,EPL,2014,Everton,a,0.597999,2.21266,0.597999,2.21266,16.25,8.137931034482758,2,4,0,3,0.3002,l,2014-12-20 15:00:00,0,0,1,0,-1.614661
72,EPL,2014,Everton,h,1.00929,1.39552,1.00929,0.634351,5.518518518518518,14.789473684210526,4,2,0,1,0.9777,l,2014-12-26 15:00:00,0,0,1,0,0.374939
72,EPL,2014,Everton,a,1.07321,1.71345,1.07321,1.71345,18.714285714285715,7.15625,5,10,2,3,0.8723,l,2014-12-28 16:15:00,0,0,1,0,-0.6402399999999999
72,EPL,2014,Everton,a,0.957698,1.95682,0.957698,1.95682,6.454545454545454,7.689655172413793,7,10,0,2,0.6689,l,2015-01-01 15:00:00,0,0,1,0,-0.999122
72,EPL,2014,Everton,h,0.95041,1.50724,0.95041,1.50724,11.454545454545457,8.181818181818182,1,22,1,1,0.8880999999999999,d,2015-01-10 15:00:00,0,1,0,1,-0.5568299999999999
72,EPL,2014,Everton,h,1.4927,0.196316,0.73153,0.196316,7.5,19.125,10,3,0,0,2.5705,d,2015-01-19 20:00:00,0,1,0,1,0.5352140000000001
72,EPL,2014,Everton,a,1.35977,1.21034,1.35977,1.21034,8.36,7.642857142857143,1,6,1,0,1.4588,w,2015-01-31 15:00:00,1,0,0,3,0.1494299999999999
72,EPL,2014,Everton,h,0.227711,1.03601,0.227711,1.03601,13.23076923076923,17.0,4,6,0,0,0.5751,d,2015-02-07 17:30:00,0,1,0,1,-0.8082990000000001
72,EPL,2014,Everton,a,0.706994,0.89846,0.706994,0.89846,10.904761904761903,16.714285714285715,2,13,0,1,1.1807,l,2015-02-11 19:45:00,0,0,1,0,-0.191466
72,EPL,2014,Everton,h,2.05032,1.99519,2.05032,1.99519,11.055555555555555,13.208333333333334,13,5,2,2,1.4097,d,2015-02-22 14:05:00,0,1,0,1,0.0551300000000001
72,EPL,2014,Everton,a,0.367813,1.39298,0.367813,1.39298,5.896551724137931,10.4,2,7,0,2,0.49,l,2015-03-01 14:05:00,0,0,1,0,-1.0251670000000002
